,Property Id,Property Name,Postal Code,Source EUI (kBtu/ftå_),Number of Buildings - Self-reported,Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (ftå_),Year Built,Metered Areas (Energy),ENERGY STAR Score,Median Income for Zip,building_type,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,ENERGY STAR binned,binned source EUI
0,"13,286",201/205,10017,619.4,2,Manhattan,Office,293447.0,1963,Whole Building,,69273.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Not Available,Extremely High
1,"28,400",NYP Columbia (West Campus),10032,404.3,12,Manhattan,Hospital (General Medical & Surgical),3889181.0,1969,Whole Building,55.0,26237.0,hospital / medical,0.8817675614509263,0.04016615643140673,0.07806800620902768,0.0,0.19019160454325912,0.25870306868870985,0.08521779800112336,0.03542793575445246,0.443534029640023,0.7244850344788165,Moderate,Extremely High
5,"28,402",NYP Cornell (East Campus),10021,414.2,12,Manhattan,Hospital (General Medical & Surgical),2971874.0,1932,Whole Building,55.0,75472.0,hospital / medical,0.8817675614509263,0.04016615643140673,0.07806800620902768,0.0,0.19019160454325912,0.25870306868870985,0.08521779800112336,0.03542793575445246,0.443534029640023,0.7244850344788165,Moderate,Extremely High
14,"5,871,253",Cadman - 10 Clinton St,11201,352.2,1,Brooklyn,Multifamily Housing,162656.0,1903,Whole Building,1.0,56293.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
20,"4,988,574",- 720 Ft. Washington Ave. bldg,10040,106.6,1,Manhattan,Multifamily Housing,204720.0,1939,Whole Building,67.0,27905.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
21,"4,988,569",- 730 Ft. Washington Ave bldg,10040,97.7,1,Manhattan,Multifamily Housing,116744.0,1939,Whole Building,80.0,27905.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
23,"4,988,686",- 830 Park Avenue bldg,10021,74.3,1,Manhattan,Multifamily Housing,130629.0,1911,Another configuration,100.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
24,"4,988,688",- 840 Park Avenue bldg,10021,53.9,1,Manhattan,Multifamily Housing,54913.0,1911,Another configuration,100.0,75472.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
26,"4,954,491",558 RIVERSIDE DRIVE,10027,0.0,1,Manhattan,College/University,256528.0,1964,Whole Building,,23150.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
27,"4,954,504",564 RIVERSIDE DRIVE,10027,0.0,1,Manhattan,College/University,339104.0,1964,Whole Building,,23150.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
