,binned source EUI,Number of Buildings,Gross Floor Area,Year Built,Median Income for Zip,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,bor_Brooklyn,bor_Manhattan,bor_Queens,bor_Staten Island,type_Distribution Center,type_Enclosed Mall,type_Hospital (General Medical & Surgical),type_Hotel,type_K-12 School,type_Medical Office,type_Multifamily Housing,type_Non-Refrigerated Warehouse,type_Office,type_Other - Education,type_Other - Lodging/Residential,type_Other - Mall,type_Other - Specialty Hospital,type_Refrigerated Warehouse,type_Residence Hall/Dormitory,type_Residential Care Facility,type_Retail Store,type_Senior Care Community,type_Strip Mall,type_Supermarket/Grocery Store,star_Low,star_Moderate,star_Not Available
0,Extremely High,0.1808823258866756,0.5368864601185849,0.4973952469050403,0.9440533935139761,1.2494277404956369,-1.395162130975831,-0.18989608983952044,-0.5525152435301177,-0.5281525947611166,-0.17689781027044327,-1.4601244409869472,-0.06690351585500445,1.3004771151169165,2.1666221980487452,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Extremely High,2.650069631641295,14.117991879466794,0.6963922245118653,-0.9967449382918703,0.42991502169180823,-1.2696752800875655,3.529132661494316,-0.5525152435301177,-1.7455104259211829,-2.1104968038729486,0.06601639487769059,1.5103911331627673,3.7413377893470794,1.8837853503865798,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Extremely High,2.650069631641295,10.653318722635381,-0.5307558040635559,1.2236102496080472,0.42991502169180823,-1.2696752800875655,3.529132661494316,-0.5525152435301177,-1.7455104259211829,-2.1104968038729486,0.06601639487769059,1.5103911331627673,3.7413377893470794,1.8837853503865798,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Extremely High,-0.06603640468878634,0.042888194701295436,-1.4925745291632104,0.35869317539798284,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Moderate,-0.06603640468878634,0.2017641344564228,-0.29859266352226005,-0.9215229934677195,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Low,-0.06603640468878634,-0.13052166042511687,-0.29859266352226005,-0.9215229934677195,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Low,-0.06603640468878634,-0.07807794552639247,-1.2272452256874438,1.2236102496080472,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Low,-0.06603640468878634,-0.364057658689649,-1.2272452256874438,1.2236102496080472,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Low,-0.06603640468878634,0.3974432112639931,0.5305614098395111,-1.1359596527236169,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Low,-0.06603640468878634,0.7093331789612971,0.5305614098395111,-1.1359596527236169,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Low,0.1808823258866756,0.18037910965375176,0.762724550380807,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Moderate,0.1808823258866756,0.09285419429763862,0.8290568762497488,-1.1773587806304335,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
